,Crop_Type,Crop,N,P,K,pH,rainfall,temperature,Area_in_hectares,Production_in_tons,target 
0,kharif,cotton,120,40,20,5.46,654.34,29.26666667,7300,9400,1.287671233
1,kharif,horsegram,20,60,20,6.18,654.34,29.26666667,3300,1000,0.303030303
2,kharif,jowar,80,40,40,5.42,654.34,29.26666667,10100,10200,1.00990099
3,kharif,maize,80,40,20,5.62,654.34,29.26666667,2800,4900,1.75
4,kharif,moong,20,40,20,5.68,654.34,29.26666667,1300,500,0.384615385
5,kharif,ragi,50,40,20,5.64,654.34,29.26666667,6700,11800,1.76119403
6,kharif,rice,80,40,40,5.54,654.34,29.26666667,35600,75400,2.117977528
7,kharif,sunflower,50,60,30,5.36,654.34,29.26666667,35900,11100,0.309192201
8,rabi,horsegram,20,60,20,6,288.3,25.46,600,200,0.333333333
9,rabi,jowar,80,40,40,5.5,288.3,25.46,18800,9400,0.5
10,rabi,maize,80,40,20,5.54,288.3,25.46,600,2400,4
11,rabi,ragi,50,40,20,5.6,288.3,25.46,600,1000,1.666666667
12,rabi,rice,80,40,40,5.54,288.3,25.46,18000,37300,2.072222222
13,rabi,sunflower,50,60,30,5.32,288.3,25.46,30100,11100,0.368770764
14,rabi,wheat,60,30,30,6.4,288.3,25.46,300,200,0.666666667
15,kharif,horsegram,20,60,20,5.98,654.34,29.26666667,3100,2000,0.64516129
16,kharif,jowar,80,40,40,5.4,654.34,29.26666667,2400,1500,0.625
17,kharif,maize,80,40,20,5.5,654.34,29.26666667,100,300,3
18,kharif,moong,20,40,20,5.5,654.34,29.26666667,200,100,0.5
19,kharif,ragi,50,40,20,5.64,654.34,29.26666667,10800,9900,0.916666667
20,kharif,rice,80,40,40,5.5,654.34,29.26666667,42300,84400,1.995271868
21,kharif,sesamum,30,15,30,6.4,654.34,29.26666667,400,100,0.25
22,kharif,sunflower,50,60,30,5.62,654.34,29.26666667,1300,600,0.461538462
23,rabi,horsegram,20,60,20,5.9,288.3,25.46,1200,400,0.333333333
24,rabi,ragi,50,40,20,5.32,288.3,25.46,1600,2300,1.4375
25,rabi,rice,80,40,40,5.4,288.3,25.46,57400,137400,2.393728223
26,rabi,sunflower,50,60,30,5.48,288.3,25.46,900,400,0.444444444
27,kharif,cotton,120,40,20,5.64,654.34,29.26666667,9800,23400,2.387755102
28,kharif,jowar,80,40,40,5.38,654.34,29.26666667,1100,600,0.545454545
29,kharif,maize,80,40,20,5.66,654.34,29.26666667,1600,2900,1.8125
30,kharif,ragi,50,40,20,5.58,654.34,29.26666667,200,100,0.5
31,kharif,rice,80,40,40,5.34,654.34,29.26666667,214100,429300,2.005137786
32,kharif,sesamum,30,15,30,6.34,654.34,29.26666667,1800,400,0.222222222
33,kharif,sunflower,50,60,30,5.56,654.34,29.26666667,300,200,0.666666667
34,rabi,horsegram,20,60,20,5.94,288.3,25.46,1300,800,0.615384615
35,rabi,jowar,80,40,40,5.38,288.3,25.46,200,200,1
36,rabi,maize,80,40,20,5.66,288.3,25.46,3600,13700,3.805555556
37,rabi,moong,20,40,20,5.48,288.3,25.46,59500,26500,0.445378151
38,rabi,ragi,50,40,20,5.58,288.3,25.46,100,100,1
39,rabi,rice,80,40,40,5.48,288.3,25.46,154400,491500,3.183290155
40,rabi,sesamum,30,15,30,6.42,288.3,25.46,1900,200,0.105263158
41,kharif,cotton,120,40,20,5.66,654.34,29.26666667,162300,432500,2.664818238
42,kharif,jowar,80,40,40,5.68,654.34,29.26666667,200,100,0.5
43,kharif,maize,80,40,20,5.46,654.34,29.26666667,1700,3100,1.823529412
44,kharif,moong,20,40,20,5.32,654.34,29.26666667,7400,2800,0.378378378
45,kharif,rice,80,40,40,5.34,654.34,29.26666667,295000,845300,2.865423729
46,rabi,jowar,80,40,40,5.5,288.3,25.46,2400,3500,1.458333333
47,rabi,maize,80,40,20,5.46,288.3,25.46,5000,19000,3.8
48,rabi,moong,20,40,20,5.42,288.3,25.46,7700,3100,0.402597403
49,rabi,rice,80,40,40,5.56,288.3,25.46,14500,51800,3.572413793
50,rabi,sesamum,30,15,30,6.48,288.3,25.46,4700,900,0.191489362
51,kharif,cotton,120,40,20,5.44,654.34,29.26666667,13400,17400,1.298507463
52,kharif,horsegram,20,60,20,6.02,654.34,29.26666667,200,100,0.5
53,kharif,jowar,80,40,40,5.62,654.34,29.26666667,7300,8100,1.109589041
54,kharif,maize,80,40,20,5.42,654.34,29.26666667,200,100,0.5
55,kharif,ragi,50,40,20,5.38,654.34,29.26666667,100,100,1
56,kharif,rice,80,40,40,5.42,654.34,29.26666667,47700,77500,1.624737945
57,kharif,sesamum,30,15,30,6.68,654.34,29.26666667,3200,700,0.21875
58,kharif,sunflower,50,60,30,5.42,654.34,29.26666667,51500,27400,0.532038835
59,rabi,horsegram,20,60,20,6.02,288.3,25.46,300,100,0.333333333
60,rabi,jowar,80,40,40,5.62,288.3,25.46,3000,2600,0.866666667
61,rabi,ragi,50,40,20,5.36,288.3,25.46,800,1300,1.625
62,rabi,rice,80,40,40,5.52,288.3,25.46,13000,27700,2.130769231
63,rabi,sunflower,50,60,30,5.4,288.3,25.46,3300,700,0.212121212
64,kharif,cotton,120,40,20,5.34,654.34,29.26666667,26400,63300,2.397727273
65,kharif,jowar,80,40,40,5.38,654.34,29.26666667,500,300,0.6
66,kharif,maize,80,40,20,5.38,654.34,29.26666667,5900,10500,1.779661017
67,kharif,moong,20,40,20,5.4,654.34,29.26666667,26700,10200,0.382022472
68,kharif,rice,80,40,40,5.6,654.34,29.26666667,257900,699400,2.711903839
69,kharif,sesamum,30,15,30,6.6,654.34,29.26666667,300,100,0.333333333
70,kharif,sunflower,50,60,30,5.36,654.34,29.26666667,2200,1100,0.5
71,rabi,horsegram,20,60,20,5.82,288.3,25.46,800,400,0.5
72,rabi,jowar,80,40,40,5.64,288.3,25.46,2200,2000,0.909090909
73,rabi,maize,80,40,20,5.46,288.3,25.46,2200,8200,3.727272727
74,rabi,moong,20,40,20,5.56,288.3,25.46,2500,1600,0.64
75,rabi,rice,80,40,40,5.48,288.3,25.46,116300,393500,3.383490972
76,rabi,sesamum,30,15,30,6.44,288.3,25.46,2400,300,0.125
77,kharif,cotton,120,40,20,5.52,654.34,29.26666667,90400,116900,1.293141593
78,kharif,jowar,80,40,40,5.56,654.34,29.26666667,9600,10400,1.083333333
79,kharif,maize,80,40,20,5.4,654.34,29.26666667,1000,1700,1.7
80,kharif,moong,20,40,20,5.56,654.34,29.26666667,3000,1200,0.4
81,kharif,rice,80,40,40,5.34,654.34,29.26666667,66300,176900,2.668174962
82,kharif,sunflower,50,60,30,5.62,654.34,29.26666667,81700,46200,0.565483476
83,rabi,horsegram,20,60,20,6.08,288.3,25.46,2000,600,0.3
84,rabi,jowar,80,40,40,5.66,288.3,25.46,113800,107200,0.942003515
85,rabi,maize,80,40,20,5.48,288.3,25.46,100,200,2
86,rabi,moong,20,40,20,5.66,288.3,25.46,500,200,0.4
87,rabi,rice,80,40,40,5.4,288.3,25.46,9000,23900,2.655555556
88,rabi,sunflower,50,60,30,5.38,288.3,25.46,61100,34300,0.561374795
89,rabi,wheat,60,30,30,6.7,288.3,25.46,600,300,0.5
90,kharif,cotton,120,40,20,5.32,654.34,29.26666667,39900,47500,1.19047619
91,kharif,jowar,80,40,40,5.58,654.34,29.26666667,3700,2100,0.567567568
92,kharif,maize,80,40,20,5.34,654.34,29.26666667,1800,8100,4.5
93,kharif,moong,20,40,20,5.6,654.34,29.26666667,6000,2300,0.383333333
94,kharif,rice,80,40,40,5.68,654.34,29.26666667,62000,124300,2.00483871
95,kharif,sesamum,30,15,30,6.46,654.34,29.26666667,3700,700,0.189189189
96,kharif,sunflower,50,60,30,5.52,654.34,29.26666667,14100,7000,0.496453901
97,rabi,horsegram,20,60,20,6.1,288.3,25.46,2500,900,0.36
98,rabi,jowar,80,40,40,5.56,288.3,25.46,4200,8100,1.928571429
99,rabi,maize,80,40,20,5.38,288.3,25.46,4700,17600,3.744680851
100,rabi,moong,20,40,20,5.48,288.3,25.46,4700,2000,0.425531915
101,rabi,ragi,50,40,20,5.68,288.3,25.46,4600,5800,1.260869565
102,rabi,rice,80,40,40,5.46,288.3,25.46,74200,222100,2.993261456
103,rabi,sesamum,30,15,30,6.5,288.3,25.46,2500,100,0.04
104,rabi,sunflower,50,60,30,5.46,288.3,25.46,600,200,0.333333333
105,kharif,cotton,120,40,20,5.56,654.34,29.26666667,8700,20900,2.402298851
106,kharif,maize,80,40,20,5.62,654.34,29.26666667,100,100,1
107,kharif,moong,20,40,20,5.32,654.34,29.26666667,300,100,0.333333333
108,kharif,ragi,50,40,20,5.5,654.34,29.26666667,300,200,0.666666667
109,kharif,rice,80,40,40,5.34,654.34,29.26666667,48700,127600,2.620123203
110,kharif,sesamum,30,15,30,6.54,654.34,29.26666667,1100,200,0.181818182
111,kharif,sunflower,50,60,30,5.56,654.34,29.26666667,3000,1500,0.5
112,rabi,horsegram,20,60,20,6.18,288.3,25.46,600,300,0.5
113,rabi,jowar,80,40,40,5.4,288.3,25.46,300,200,0.666666667
114,rabi,moong,20,40,20,5.68,288.3,25.46,6300,1900,0.301587302
115,rabi,ragi,50,40,20,5.62,288.3,25.46,400,900,2.25
116,rabi,rice,80,40,40,5.32,288.3,25.46,182100,544600,2.99066447
117,rabi,sesamum,30,15,30,6.42,288.3,25.46,2200,200,0.090909091
118,rabi,sunflower,50,60,30,5.68,288.3,25.46,200,100,0.5
119,kharif,cotton,120,40,20,5.34,654.34,29.26666667,800,1900,2.375
120,kharif,jowar,80,40,40,5.54,654.34,29.26666667,300,200,0.666666667
121,kharif,maize,80,40,20,5.42,654.34,29.26666667,200,400,2
122,kharif,ragi,50,40,20,5.56,654.34,29.26666667,4700,5300,1.127659574
123,kharif,rice,80,40,40,5.68,654.34,29.26666667,185700,278500,1.499730749
124,kharif,sesamum,30,15,30,6.42,654.34,29.26666667,4100,500,0.12195122
125,rabi,horsegram,20,60,20,5.9,288.3,25.46,17300,11200,0.647398844
126,rabi,jowar,80,40,40,5.48,288.3,25.46,400,200,0.5
127,rabi,moong,20,40,20,5.44,288.3,25.46,23300,10800,0.463519313
128,rabi,ragi,50,40,20,5.58,288.3,25.46,1400,2000,1.428571429
129,rabi,rice,80,40,40,5.52,288.3,25.46,600,2100,3.5
130,rabi,sesamum,30,15,30,6.66,288.3,25.46,2000,200,0.1
131,kharif,cotton,120,40,20,5.4,654.34,29.26666667,1500,3500,2.333333333
132,kharif,jowar,80,40,40,5.32,654.34,29.26666667,1300,700,0.538461538
133,kharif,maize,80,40,20,5.68,654.34,29.26666667,6400,6500,1.015625
134,kharif,moong,20,40,20,5.38,654.34,29.26666667,2500,1000,0.4
135,kharif,ragi,50,40,20,5.44,654.34,29.26666667,35800,14600,0.407821229
136,kharif,rice,80,40,40,5.58,654.34,29.26666667,95600,79700,0.833682008
137,kharif,sesamum,30,15,30,6.36,654.34,29.26666667,4100,600,0.146341463
138,rabi,horsegram,20,60,20,5.84,288.3,25.46,6700,3200,0.47761194
139,rabi,jowar,80,40,40,5.6,288.3,25.46,100,100,1
140,rabi,maize,80,40,20,5.32,288.3,25.46,300,1100,3.666666667
141,rabi,moong,20,40,20,5.4,288.3,25.46,2700,1100,0.407407407
142,rabi,ragi,50,40,20,5.62,288.3,25.46,2000,3900,1.95
143,rabi,rice,80,40,40,5.48,288.3,25.46,2700,8700,3.222222222
144,rabi,sesamum,30,15,30,6.34,288.3,25.46,9300,900,0.096774194
145,kharif,cotton,120,40,20,5.38,654.34,29.26666667,4200,10100,2.404761905
146,kharif,jowar,80,40,40,5.54,654.34,29.26666667,600,300,0.5
147,kharif,maize,80,40,20,5.56,654.34,29.26666667,500,800,1.6
148,kharif,moong,20,40,20,5.68,654.34,29.26666667,500,200,0.4
149,kharif,ragi,50,40,20,5.62,654.34,29.26666667,10000,11700,1.17
150,kharif,rice,80,40,40,5.42,654.34,29.26666667,130500,185600,1.422222222
151,kharif,sesamum,30,15,30,6.64,654.34,29.26666667,7300,1700,0.232876712
152,rabi,horsegram,20,60,20,6.04,288.3,25.46,38700,14500,0.374677003
153,rabi,jowar,80,40,40,5.38,288.3,25.46,200,300,1.5
154,rabi,maize,80,40,20,5.42,288.3,25.46,1800,6800,3.777777778
155,rabi,moong,20,40,20,5.44,288.3,25.46,20800,4100,0.197115385
156,rabi,ragi,50,40,20,5.52,288.3,25.46,2300,3500,1.52173913
157,rabi,rice,80,40,40,5.36,288.3,25.46,1000,3200,3.2
158,rabi,sesamum,30,15,30,6.54,288.3,25.46,17200,1600,0.093023256
159,kharif,cotton,120,40,20,5.52,654.34,29.26666667,3400,8200,2.411764706
160,kharif,maize,80,40,20,5.4,654.34,29.26666667,800,1400,1.75
161,kharif,rice,80,40,40,5.42,654.34,29.26666667,247200,630400,2.550161812
162,kharif,sesamum,30,15,30,6.36,654.34,29.26666667,1500,500,0.333333333
163,kharif,sunflower,50,60,30,5.68,654.34,29.26666667,800,400,0.5
164,rabi,horsegram,20,60,20,6.04,288.3,25.46,1100,300,0.272727273
165,rabi,jowar,80,40,40,5.34,288.3,25.46,300,500,1.666666667
166,rabi,maize,80,40,20,5.68,288.3,25.46,8900,33600,3.775280899
167,rabi,rice,80,40,40,5.42,288.3,25.46,193600,678100,3.502582645
168,kharif,maize,80,40,20,5.58,1712.66,11.2,1520,2725,1.792763158
169,kharif,rice,80,40,40,5.34,1712.66,11.2,11500,13800,1.2
170,kharif,sesamum,30,15,30,6.36,1712.66,11.2,424,313,0.738207547
171,kharif,soyabean,20,60,20,5.44,1712.66,11.2,373,450,1.206434316
172,kharif,sunflower,50,60,30,5.68,1712.66,11.2,51,24,0.470588235
173,rabi,rapeseed,50,40,20,5.14,241.78,1.18,4205,3300,0.784780024
174,rabi,wheat,60,30,30,6.3,241.78,1.18,240,260,1.083333333
175,kharif,maize,80,40,20,5.66,1712.66,11.2,5212,7557,1.449923254
176,kharif,rice,80,40,40,5.58,1712.66,11.2,10310,12400,1.20271581
177,kharif,sesamum,30,15,30,6.38,1712.66,11.2,130,100,0.769230769
178,kharif,soyabean,20,60,20,5.56,1712.66,11.2,290,653,2.251724138
